Data,Taxa,Fator,Base,Media,Mediana,Moda,Desvio,curtose,
03/07/2000,17.26,1.00063204,0.00,0.00,0.00,0.00,0.00,0.00,
04/07/2000,17.22,1.00063068,0.00,0.00,0.00,0.00,0.00,0.00,
05/07/2000,17.23,1.00063102,0.00,0.00,0.00,0.00,0.00,0.00,
06/07/2000,17.28,1.00063272,0.00,0.00,0.00,0.00,0.00,0.00,
07/07/2000,17.28,1.00063272,0.00,0.00,0.00,0.00,0.00,0.00,
10/07/2000,17.01,1.00062356,0.00,0.00,0.00,0.00,0.00,0.00,
11/07/2000,16.96,1.00062187,0.00,0.00,0.00,0.00,0.00,0.00,
12/07/2000,16.98,1.00062255,0.00,0.00,0.00,0.00,0.00,0.00,
13/07/2000,16.94,1.00062119,0.00,0.00,0.00,0.00,0.00,0.00,
14/07/2000,16.95,1.00062153,0.00,0.00,0.00,0.00,0.00,0.00,
17/07/2000,16.95,1.00062153,0.00,0.00,0.00,0.00,0.00,0.00,
18/07/2000,16.94,1.00062119,0.00,0.00,0.00,0.00,0.00,0.00,
19/07/2000,16.91,1.00062017,0.00,0.00,0.00,0.00,0.00,0.00,
20/07/2000,16.58,1.00060895,0.00,0.00,0.00,0.00,0.00,0.00,
21/07/2000,16.52,1.00060690,0.00,0.00,0.00,0.00,0.00,0.00,
24/07/2000,16.53,1.00060724,0.00,0.00,0.00,0.00,0.00,0.00,
25/07/2000,16.49,1.00060588,0.00,0.00,0.00,0.00,0.00,0.00,
26/07/2000,16.49,1.00060588,0.00,0.00,0.00,0.00,0.00,0.00,
27/07/2000,16.47,1.00060520,0.00,0.00,0.00,0.00,0.00,0.00,
28/07/2000,16.44,1.00060417,0.00,0.00,0.00,0.00,0.00,0.00,
31/07/2000,16.39,1.00060247,0.00,0.00,0.00,0.00,0.00,0.00,
01/08/2000,16.40,1.00060281,0.00,0.00,0.00,0.00,0.00,0.00,
02/08/2000,16.44,1.00060417,0.00,0.00,0.00,0.00,0.00,0.00,
03/08/2000,16.43,1.00060383,0.00,0.00,0.00,0.00,0.00,0.00,
04/08/2000,16.44,1.00060417,0.00,0.00,0.00,0.00,0.00,0.00,
07/08/2000,16.48,1.00060554,0.00,0.00,0.00,0.00,0.00,0.00,
08/08/2000,16.49,1.00060588,0.00,0.00,0.00,0.00,0.00,0.00,
09/08/2000,16.54,1.00060758,0.00,0.00,0.00,0.00,0.00,0.00,
10/08/2000,16.56,1.00060826,0.00,0.00,0.00,0.00,0.00,0.00,
11/08/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
14/08/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
15/08/2000,16.47,1.00060520,0.00,0.00,0.00,0.00,0.00,0.00,
16/08/2000,16.44,1.00060417,0.00,0.00,0.00,0.00,0.00,0.00,
17/08/2000,16.53,1.00060724,0.00,0.00,0.00,0.00,0.00,0.00,
18/08/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
21/08/2000,16.57,1.00060860,0.00,0.00,0.00,0.00,0.00,0.00,
22/08/2000,16.59,1.00060929,0.00,0.00,0.00,0.00,0.00,0.00,
23/08/2000,16.56,1.00060826,0.00,0.00,0.00,0.00,0.00,0.00,
24/08/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
25/08/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
28/08/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
29/08/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
30/08/2000,16.47,1.00060520,0.00,0.00,0.00,0.00,0.00,0.00,
31/08/2000,16.41,1.00060315,0.00,0.00,0.00,0.00,0.00,0.00,
01/09/2000,16.40,1.00060281,0.00,0.00,0.00,0.00,0.00,0.00,
04/09/2000,16.40,1.00060281,0.00,0.00,0.00,0.00,0.00,0.00,
05/09/2000,16.39,1.00060247,0.00,0.00,0.00,0.00,0.00,0.00,
06/09/2000,16.53,1.00060724,0.00,0.00,0.00,0.00,0.00,0.00,
08/09/2000,16.55,1.00060792,0.00,0.00,0.00,0.00,0.00,0.00,
11/09/2000,16.58,1.00060895,0.00,0.00,0.00,0.00,0.00,0.00,
12/09/2000,16.59,1.00060929,0.00,0.00,0.00,0.00,0.00,0.00,
13/09/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
14/09/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
15/09/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2000,16.59,1.00060929,0.00,0.00,0.00,0.00,0.00,0.00,
20/09/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
21/09/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
22/09/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
25/09/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
26/09/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
27/09/2000,16.59,1.00060929,0.00,0.00,0.00,0.00,0.00,0.00,
28/09/2000,16.59,1.00060929,0.00,0.00,0.00,0.00,0.00,0.00,
29/09/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
02/10/2000,16.59,1.00060929,0.00,0.00,0.00,0.00,0.00,0.00,
03/10/2000,16.57,1.00060860,0.00,0.00,0.00,0.00,0.00,0.00,
04/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
05/10/2000,16.59,1.00060929,0.00,0.00,0.00,0.00,0.00,0.00,
06/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
09/10/2000,16.59,1.00060929,0.00,0.00,0.00,0.00,0.00,0.00,
10/10/2000,16.59,1.00060929,0.00,0.00,0.00,0.00,0.00,0.00,
11/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
13/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
16/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
17/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
18/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
19/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
20/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
23/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
24/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
25/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
26/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
27/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
30/10/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
31/10/2000,16.59,1.00060929,0.00,0.00,0.00,0.00,0.00,0.00,
01/11/2000,16.53,1.00060724,0.00,0.00,0.00,0.00,0.00,0.00,
03/11/2000,16.45,1.00060452,0.00,0.00,0.00,0.00,0.00,0.00,
06/11/2000,16.40,1.00060281,0.00,0.00,0.00,0.00,0.00,0.00,
07/11/2000,16.44,1.00060417,0.00,0.00,0.00,0.00,0.00,0.00,
08/11/2000,16.50,1.00060622,0.00,0.00,0.00,0.00,0.00,0.00,
09/11/2000,16.54,1.00060758,0.00,0.00,0.00,0.00,0.00,0.00,
10/11/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
13/11/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
14/11/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
16/11/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
17/11/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
20/11/2000,16.60,1.00060963,0.00,0.00,0.00,0.00,0.00,0.00,
21/11/2000,16.59,1.00060929,0.00,0.00,0.00,0.00,0.00,0.00,
22/11/2000,16.45,1.00060452,0.00,0.00,0.00,0.00,0.00,0.00,
23/11/2000,16.46,1.00060486,0.00,0.00,0.00,0.00,0.00,0.00,
24/11/2000,16.43,1.00060383,0.00,0.00,0.00,0.00,0.00,0.00,
27/11/2000,16.45,1.00060452,0.00,0.00,0.00,0.00,0.00,0.00,
28/11/2000,16.47,1.00060520,0.00,0.00,0.00,0.00,0.00,0.00,
29/11/2000,16.42,1.00060349,0.00,0.00,0.00,0.00,0.00,0.00,
30/11/2000,16.40,1.00060281,0.00,0.00,0.00,0.00,0.00,0.00,
01/12/2000,16.40,1.00060281,0.00,0.00,0.00,0.00,0.00,0.00,
04/12/2000,16.38,1.00060213,0.00,0.00,0.00,0.00,0.00,0.00,
05/12/2000,16.37,1.00060179,0.00,0.00,0.00,0.00,0.00,0.00,
06/12/2000,16.37,1.00060179,0.00,0.00,0.00,0.00,0.00,0.00,
07/12/2000,16.36,1.00060145,0.00,0.00,0.00,0.00,0.00,0.00,
08/12/2000,16.36,1.00060145,0.00,0.00,0.00,0.00,0.00,0.00,
11/12/2000,16.35,1.00060110,0.00,0.00,0.00,0.00,0.00,0.00,
12/12/2000,16.34,1.00060076,0.00,0.00,0.00,0.00,0.00,0.00,
13/12/2000,16.35,1.00060110,0.00,0.00,0.00,0.00,0.00,0.00,
14/12/2000,16.34,1.00060076,0.00,0.00,0.00,0.00,0.00,0.00,
15/12/2000,16.33,1.00060042,0.00,0.00,0.00,0.00,0.00,0.00,
18/12/2000,16.32,1.00060008,0.00,0.00,0.00,0.00,0.00,0.00,
19/12/2000,16.31,1.00059974,0.00,0.00,0.00,0.00,0.00,0.00,
20/12/2000,16.31,1.00059974,0.00,0.00,0.00,0.00,0.00,0.00,
21/12/2000,15.82,1.00058298,0.00,0.00,0.00,0.00,0.00,0.00,
22/12/2000,15.82,1.00058298,0.00,0.00,0.00,0.00,0.00,0.00,
26/12/2000,15.83,1.00058332,0.00,0.00,0.00,0.00,0.00,0.00,
27/12/2000,15.80,1.00058229,0.00,0.00,0.00,0.00,0.00,0.00,
28/12/2000,15.84,1.00058366,0.00,0.00,0.00,0.00,0.00,0.00,
29/12/2000,15.84,1.00058366,0.00,0.00,0.00,0.00,0.00,0.00,
02/01/2001,15.85,1.00058400,0.00,0.00,0.00,0.00,0.00,0.00,
03/01/2001,15.79,1.00058195,0.00,0.00,0.00,0.00,0.00,0.00,
04/01/2001,15.83,1.00058332,0.00,0.00,0.00,0.00,0.00,0.00,
05/01/2001,15.80,1.00058229,0.00,0.00,0.00,0.00,0.00,0.00,
08/01/2001,15.80,1.00058229,0.00,0.00,0.00,0.00,0.00,0.00,
09/01/2001,15.80,1.00058229,0.00,0.00,0.00,0.00,0.00,0.00,
10/01/2001,15.66,1.00057749,0.00,0.00,0.00,0.00,0.00,0.00,
11/01/2001,15.65,1.00057714,0.00,0.00,0.00,0.00,0.00,0.00,
12/01/2001,15.65,1.00057714,0.00,0.00,0.00,0.00,0.00,0.00,
15/01/2001,15.65,1.00057714,0.00,0.00,0.00,0.00,0.00,0.00,
16/01/2001,15.65,1.00057714,0.00,0.00,0.00,0.00,0.00,0.00,
17/01/2001,15.59,1.00057508,0.00,0.00,0.00,0.00,0.00,0.00,
18/01/2001,15.31,1.00056545,0.00,0.00,0.00,0.00,0.00,0.00,
19/01/2001,15.30,1.00056511,0.00,0.00,0.00,0.00,0.00,0.00,
22/01/2001,15.29,1.00056476,0.00,0.00,0.00,0.00,0.00,0.00,
23/01/2001,15.24,1.00056304,0.00,0.00,0.00,0.00,0.00,0.00,
24/01/2001,15.17,1.00056063,0.00,0.00,0.00,0.00,0.00,0.00,
25/01/2001,15.16,1.00056028,0.00,0.00,0.00,0.00,0.00,0.00,
26/01/2001,15.15,1.00055994,0.00,0.00,0.00,0.00,0.00,0.00,
29/01/2001,15.15,1.00055994,0.00,0.00,0.00,0.00,0.00,0.00,
30/01/2001,15.14,1.00055960,0.00,0.00,0.00,0.00,0.00,0.00,
31/01/2001,15.12,1.00055891,0.00,0.00,0.00,0.00,0.00,0.00,
01/02/2001,15.12,1.00055891,0.00,0.00,0.00,0.00,0.00,0.00,
02/02/2001,15.10,1.00055822,0.00,0.00,0.00,0.00,0.00,0.00,
05/02/2001,15.10,1.00055822,0.00,0.00,0.00,0.00,0.00,0.00,
06/02/2001,15.15,1.00055994,0.00,0.00,0.00,0.00,0.00,0.00,
07/02/2001,15.21,1.00056201,0.00,0.00,0.00,0.00,0.00,0.00,
08/02/2001,15.26,1.00056373,0.00,0.00,0.00,0.00,0.00,0.00,
09/02/2001,15.28,1.00056442,0.00,0.00,0.00,0.00,0.00,0.00,
12/02/2001,15.24,1.00056304,0.00,0.00,0.00,0.00,0.00,0.00,
13/02/2001,15.15,1.00055994,0.00,0.00,0.00,0.00,0.00,0.00,
14/02/2001,15.07,1.00055718,0.00,0.00,0.00,0.00,0.00,0.00,
15/02/2001,15.26,1.00056373,0.00,0.00,0.00,0.00,0.00,0.00,
16/02/2001,15.23,1.00056270,0.00,0.00,0.00,0.00,0.00,0.00,
19/02/2001,15.17,1.00056063,0.00,0.00,0.00,0.00,0.00,0.00,
20/02/2001,15.31,1.00056545,0.00,0.00,0.00,0.00,0.00,0.00,
21/02/2001,15.26,1.00056373,0.00,0.00,0.00,0.00,0.00,0.00,
22/02/2001,15.26,1.00056373,0.00,0.00,0.00,0.00,0.00,0.00,
23/02/2001,15.29,1.00056476,0.00,0.00,0.00,0.00,0.00,0.00,
28/02/2001,15.14,1.00055960,0.00,0.00,0.00,0.00,0.00,0.00,
01/03/2001,15.12,1.00055891,0.00,0.00,0.00,0.00,0.00,0.00,
02/03/2001,15.11,1.00055856,0.00,0.00,0.00,0.00,0.00,0.00,
05/03/2001,15.17,1.00056063,0.00,0.00,0.00,0.00,0.00,0.00,
06/03/2001,15.12,1.00055891,0.00,0.00,0.00,0.00,0.00,0.00,
07/03/2001,15.19,1.00056132,0.00,0.00,0.00,0.00,0.00,0.00,
08/03/2001,15.21,1.00056201,0.00,0.00,0.00,0.00,0.00,0.00,
09/03/2001,15.11,1.00055856,0.00,0.00,0.00,0.00,0.00,0.00,
12/03/2001,15.09,1.00055787,0.00,0.00,0.00,0.00,0.00,0.00,
13/03/2001,15.13,1.00055925,0.00,0.00,0.00,0.00,0.00,0.00,
14/03/2001,15.13,1.00055925,0.00,0.00,0.00,0.00,0.00,0.00,
15/03/2001,15.11,1.00055856,0.00,0.00,0.00,0.00,0.00,0.00,
16/03/2001,15.24,1.00056304,0.00,0.00,0.00,0.00,0.00,0.00,
19/03/2001,15.32,1.00056580,0.00,0.00,0.00,0.00,0.00,0.00,
20/03/2001,15.35,1.00056683,0.00,0.00,0.00,0.00,0.00,0.00,
21/03/2001,15.35,1.00056683,0.00,0.00,0.00,0.00,0.00,0.00,
22/03/2001,15.85,1.00058400,0.00,0.00,0.00,0.00,0.00,0.00,
23/03/2001,15.85,1.00058400,0.00,0.00,0.00,0.00,0.00,0.00,
26/03/2001,15.85,1.00058400,0.00,0.00,0.00,0.00,0.00,0.00,
27/03/2001,15.85,1.00058400,0.00,0.00,0.00,0.00,0.00,0.00,
28/03/2001,15.85,1.00058400,0.00,0.00,0.00,0.00,0.00,0.00,
29/03/2001,15.84,1.00058366,0.00,0.00,0.00,0.00,0.00,0.00,
30/03/2001,15.84,1.00058366,0.00,0.00,0.00,0.00,0.00,0.00,
02/04/2001,15.83,1.00058332,0.00,0.00,0.00,0.00,0.00,0.00,
03/04/2001,15.81,1.00058263,0.00,0.00,0.00,0.00,0.00,0.00,
04/04/2001,15.81,1.00058263,0.00,0.00,0.00,0.00,0.00,0.00,
05/04/2001,15.82,1.00058298,0.00,0.00,0.00,0.00,0.00,0.00,
06/04/2001,15.83,1.00058332,0.00,0.00,0.00,0.00,0.00,0.00,
09/04/2001,15.81,1.00058263,0.00,0.00,0.00,0.00,0.00,0.00,
10/04/2001,15.84,1.00058366,0.00,0.00,0.00,0.00,0.00,0.00,
11/04/2001,15.82,1.00058298,0.00,0.00,0.00,0.00,0.00,0.00,
12/04/2001,15.85,1.00058400,0.00,0.00,0.00,0.00,0.00,0.00,
16/04/2001,15.85,1.00058400,0.00,0.00,0.00,0.00,0.00,0.00,
17/04/2001,15.85,1.00058400,0.00,0.00,0.00,0.00,0.00,0.00,
18/04/2001,15.87,1.00058469,0.00,0.00,0.00,0.00,0.00,0.00,
19/04/2001,16.35,1.00060110,0.00,0.00,0.00,0.00,0.00,0.00,
20/04/2001,16.30,1.00059940,0.00,0.00,0.00,0.00,0.00,0.00,
23/04/2001,16.30,1.00059940,0.00,0.00,0.00,0.00,0.00,0.00,
24/04/2001,16.31,1.00059974,0.00,0.00,0.00,0.00,0.00,0.00,
25/04/2001,16.30,1.00059940,0.00,0.00,0.00,0.00,0.00,0.00,
26/04/2001,16.31,1.00059974,0.00,0.00,0.00,0.00,0.00,0.00,
27/04/2001,16.29,1.00059906,0.00,0.00,0.00,0.00,0.00,0.00,
30/04/2001,16.28,1.00059871,0.00,0.00,0.00,0.00,0.00,0.00,
02/05/2001,16.25,1.00059769,0.00,0.00,0.00,0.00,0.00,0.00,
03/05/2001,16.26,1.00059803,0.00,0.00,0.00,0.00,0.00,0.00,
04/05/2001,16.29,1.00059906,0.00,0.00,0.00,0.00,0.00,0.00,
07/05/2001,16.28,1.00059871,0.00,0.00,0.00,0.00,0.00,0.00,
08/05/2001,16.30,1.00059940,0.00,0.00,0.00,0.00,0.00,0.00,
09/05/2001,16.28,1.00059871,0.00,0.00,0.00,0.00,0.00,0.00,
10/05/2001,16.30,1.00059940,0.00,0.00,0.00,0.00,0.00,0.00,
11/05/2001,16.28,1.00059871,0.00,0.00,0.00,0.00,0.00,0.00,
14/05/2001,16.30,1.00059940,0.00,0.00,0.00,0.00,0.00,0.00,
15/05/2001,16.30,1.00059940,0.00,0.00,0.00,0.00,0.00,0.00,
16/05/2001,16.30,1.00059940,0.00,0.00,0.00,0.00,0.00,0.00,
17/05/2001,16.29,1.00059906,0.00,0.00,0.00,0.00,0.00,0.00,
18/05/2001,16.30,1.00059940,0.00,0.00,0.00,0.00,0.00,0.00,
21/05/2001,16.30,1.00059940,0.00,0.00,0.00,0.00,0.00,0.00,
22/05/2001,16.30,1.00059940,0.00,0.00,0.00,0.00,0.00,0.00,
23/05/2001,16.33,1.00060042,0.00,0.00,0.00,0.00,0.00,0.00,
24/05/2001,16.77,1.00061541,0.00,0.00,0.00,0.00,0.00,0.00,
25/05/2001,16.80,1.00061643,0.00,0.00,0.00,0.00,0.00,0.00,
28/05/2001,16.80,1.00061643,0.00,0.00,0.00,0.00,0.00,0.00,
29/05/2001,16.80,1.00061643,0.00,0.00,0.00,0.00,0.00,0.00,
30/05/2001,16.80,1.00061643,0.00,0.00,0.00,0.00,0.00,0.00,
31/05/2001,16.80,1.00061643,0.00,0.00,0.00,0.00,0.00,0.00,
01/06/2001,16.81,1.00061677,0.00,0.00,0.00,0.00,0.00,0.00,
04/06/2001,16.80,1.00061643,0.00,0.00,0.00,0.00,0.00,0.00,
05/06/2001,16.78,1.00061575,0.00,0.00,0.00,0.00,0.00,0.00,
06/06/2001,16.75,1.00061473,0.00,0.00,0.00,0.00,0.00,0.00,
07/06/2001,16.73,1.00061405,0.00,0.00,0.00,0.00,0.00,0.00,
08/06/2001,16.69,1.00061269,0.00,0.00,0.00,0.00,0.00,0.00,
11/06/2001,16.65,1.00061133,0.00,0.00,0.00,0.00,0.00,0.00,
12/06/2001,16.63,1.00061065,0.00,0.00,0.00,0.00,0.00,0.00,
13/06/2001,16.67,1.00061201,0.00,0.00,0.00,0.00,0.00,0.00,
15/06/2001,16.65,1.00061133,0.00,0.00,0.00,0.00,0.00,0.00,
18/06/2001,16.79,1.00061609,0.00,0.00,0.00,0.00,0.00,0.00,
19/06/2001,16.80,1.00061643,0.00,0.00,0.00,0.00,0.00,0.00,
20/06/2001,16.87,1.00061881,0.00,0.00,0.00,0.00,0.00,0.00,
21/06/2001,18.29,1.00066677,0.00,0.00,0.00,0.00,0.00,0.00,
22/06/2001,18.27,1.00066609,0.00,0.00,0.00,0.00,0.00,0.00,
25/06/2001,18.30,1.00066710,0.00,0.00,0.00,0.00,0.00,0.00,
26/06/2001,18.30,1.00066710,0.00,0.00,0.00,0.00,0.00,0.00,
27/06/2001,18.31,1.00066744,0.00,0.00,0.00,0.00,0.00,0.00,
28/06/2001,18.31,1.00066744,0.00,0.00,0.00,0.00,0.00,0.00,
29/06/2001,18.32,1.00066777,0.00,0.00,0.00,0.00,0.00,0.00,
02/07/2001,18.32,1.00066777,0.00,0.00,0.00,0.00,0.00,0.00,
03/07/2001,18.31,1.00066744,0.00,0.00,0.00,0.00,0.00,0.00,
04/07/2001,18.32,1.00066777,0.00,0.00,0.00,0.00,0.00,0.00,
05/07/2001,18.31,1.00066744,0.00,0.00,0.00,0.00,0.00,0.00,
06/07/2001,18.32,1.00066777,0.00,0.00,0.00,0.00,0.00,0.00,
09/07/2001,18.30,1.00066710,0.00,0.00,0.00,0.00,0.00,0.00,
10/07/2001,18.32,1.00066777,0.00,0.00,0.00,0.00,0.00,0.00,
11/07/2001,18.33,1.00066811,0.00,0.00,0.00,0.00,0.00,0.00,
12/07/2001,18.32,1.00066777,0.00,0.00,0.00,0.00,0.00,0.00,
13/07/2001,18.32,1.00066777,0.00,0.00,0.00,0.00,0.00,0.00,
16/07/2001,18.33,1.00066811,0.00,0.00,0.00,0.00,0.00,0.00,
17/07/2001,18.30,1.00066710,0.00,0.00,0.00,0.00,0.00,0.00,
18/07/2001,18.37,1.00066945,0.00,0.00,0.00,0.00,0.00,0.00,
19/07/2001,19.00,1.00069053,0.00,0.00,0.00,0.00,0.00,0.00,
20/07/2001,19.00,1.00069053,0.00,0.00,0.00,0.00,0.00,0.00,
23/07/2001,18.95,1.00068886,0.00,0.00,0.00,0.00,0.00,0.00,
24/07/2001,18.90,1.00068719,0.00,0.00,0.00,0.00,0.00,0.00,
25/07/2001,18.93,1.00068819,0.00,0.00,0.00,0.00,0.00,0.00,
26/07/2001,18.89,1.00068686,0.00,0.00,0.00,0.00,0.00,0.00,
27/07/2001,18.88,1.00068652,0.00,0.00,0.00,0.00,0.00,0.00,
30/07/2001,18.90,1.00068719,0.00,0.00,0.00,0.00,0.00,0.00,
31/07/2001,18.88,1.00068652,0.00,0.00,0.00,0.00,0.00,0.00,
01/08/2001,18.88,1.00068652,0.00,0.00,0.00,0.00,0.00,0.00,
02/08/2001,18.88,1.00068652,0.00,0.00,0.00,0.00,0.00,0.00,
03/08/2001,18.89,1.00068686,0.00,0.00,0.00,0.00,0.00,0.00,
06/08/2001,18.92,1.00068786,0.00,0.00,0.00,0.00,0.00,0.00,
07/08/2001,19.02,1.00069120,0.00,0.00,0.00,0.00,0.00,0.00,
08/08/2001,19.00,1.00069053,0.00,0.00,0.00,0.00,0.00,0.00,
09/08/2001,19.00,1.00069053,0.00,0.00,0.00,0.00,0.00,0.00,
10/08/2001,19.00,1.00069053,0.00,0.00,0.00,0.00,0.00,0.00,
13/08/2001,18.99,1.00069020,0.00,0.00,0.00,0.00,0.00,0.00,
14/08/2001,18.99,1.00069020,0.00,0.00,0.00,0.00,0.00,0.00,
15/08/2001,18.97,1.00068953,0.00,0.00,0.00,0.00,0.00,0.00,
16/08/2001,19.03,1.00069153,0.00,0.00,0.00,0.00,0.00,0.00,
17/08/2001,19.04,1.00069186,0.00,0.00,0.00,0.00,0.00,0.00,
20/08/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
21/08/2001,19.06,1.00069253,0.00,0.00,0.00,0.00,0.00,0.00,
22/08/2001,19.03,1.00069153,0.00,0.00,0.00,0.00,0.00,0.00,
23/08/2001,19.03,1.00069153,0.00,0.00,0.00,0.00,0.00,0.00,
24/08/2001,19.03,1.00069153,0.00,0.00,0.00,0.00,0.00,0.00,
27/08/2001,19.03,1.00069153,0.00,0.00,0.00,0.00,0.00,0.00,
28/08/2001,19.01,1.00069086,0.00,0.00,0.00,0.00,0.00,0.00,
29/08/2001,18.99,1.00069020,0.00,0.00,0.00,0.00,0.00,0.00,
30/08/2001,19.01,1.00069086,0.00,0.00,0.00,0.00,0.00,0.00,
31/08/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
03/09/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
04/09/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
05/09/2001,19.06,1.00069253,0.00,0.00,0.00,0.00,0.00,0.00,
06/09/2001,19.06,1.00069253,0.00,0.00,0.00,0.00,0.00,0.00,
10/09/2001,19.07,1.00069286,0.00,0.00,0.00,0.00,0.00,0.00,
11/09/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
12/09/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
13/09/2001,19.06,1.00069253,0.00,0.00,0.00,0.00,0.00,0.00,
14/09/2001,19.06,1.00069253,0.00,0.00,0.00,0.00,0.00,0.00,
17/09/2001,19.06,1.00069253,0.00,0.00,0.00,0.00,0.00,0.00,
18/09/2001,19.06,1.00069253,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2001,19.06,1.00069253,0.00,0.00,0.00,0.00,0.00,0.00,
20/09/2001,19.06,1.00069253,0.00,0.00,0.00,0.00,0.00,0.00,
21/09/2001,19.06,1.00069253,0.00,0.00,0.00,0.00,0.00,0.00,
24/09/2001,19.07,1.00069286,0.00,0.00,0.00,0.00,0.00,0.00,
25/09/2001,19.07,1.00069286,0.00,0.00,0.00,0.00,0.00,0.00,
26/09/2001,19.08,1.00069320,0.00,0.00,0.00,0.00,0.00,0.00,
27/09/2001,19.09,1.00069353,0.00,0.00,0.00,0.00,0.00,0.00,
28/09/2001,19.10,1.00069386,0.00,0.00,0.00,0.00,0.00,0.00,
01/10/2001,19.10,1.00069386,0.00,0.00,0.00,0.00,0.00,0.00,
02/10/2001,19.11,1.00069420,0.00,0.00,0.00,0.00,0.00,0.00,
03/10/2001,19.11,1.00069420,0.00,0.00,0.00,0.00,0.00,0.00,
04/10/2001,19.10,1.00069386,0.00,0.00,0.00,0.00,0.00,0.00,
05/10/2001,19.09,1.00069353,0.00,0.00,0.00,0.00,0.00,0.00,
08/10/2001,19.07,1.00069286,0.00,0.00,0.00,0.00,0.00,0.00,
09/10/2001,19.06,1.00069253,0.00,0.00,0.00,0.00,0.00,0.00,
10/10/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
11/10/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
15/10/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
16/10/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
17/10/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
18/10/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
19/10/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
22/10/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
23/10/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
24/10/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
25/10/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
26/10/2001,19.05,1.00069220,0.00,0.00,0.00,0.00,0.00,0.00,
